conf_id,author_id,affiliation
267437,81100158597,"Univ. of Southampton, Southampton, UK"
267437,81100601284,"Univ. of Southampton, Southampton, UK"
2481492,81100171609,"University of Kassel, Germany"
2310057,81407593575,"Nokia Research Center, China"
122974,81100452769,"Texas A&M Univ., College Station"
1995966,81100551753,"Eindhoven University of Technology, the Netherlands"
2463656,81314487668,"University of Kassel, Germany"
2463656,81407593575,"Nokia, China"
2463656,81466648166,"Know-Center, TU Graz, Austria"
513338,81100652766,"University of Maryland"
276627,81100120280,"Knowledge Systems, Export, PA"
2467696,81100369955,"University of Illinois at Urbana-Champaign, USA"
2467696,81100298420,"Indiana University Bloomington, USA"
544220,81100618955,"Oregon Health & Science University"
1255175,81100172373,"University of British Columbia, Canada"
379437,81339500009,"Virginia Tech"
379437,81100391397,UCLA
1141753,81100052406,"University of North Carolina, Chapel Hill"
2756406,81100638507,"Google, USA"
2756406,81100097610,"School of Information Sciences, University of Tennessee, USA"
2756406,81496666975,"University Libraries, University of Tennessee, USA"
2756406,99658722194,"University of Tennessee, USA"
1065385,81100531840,"DLESE Program Center, University Corporation for Atmospheric Research (UCAR)"
1998076,81435601462,"Carleton University, Canada"
1378889,81100221728,"University of Pittsburgh, USA"
2232817,81502796634,"The George Washington University, USA"
2232817,81502756540,"The Library of Congress, USA"
1555400,81421598577,"University of Texas Libraries, USA"
1555400,81322505205,"University of Texas at Austin, USA"
996350,81452604957,"University of Arizona"
996350,81100586988,"Carnegie Mellon University, Pittsburgh, PA"
996350,81451599088,"Simmons College"
1816123,81338489104,"The University of Queensland, Australia"
2484028,81100555564,"Dublin City University, Ireland"
2484028,81100130525,"Dublin City University, Ireland"
122860,81339500009,"VPI & State Univ., Blackburg, VA"
133160,81339500009,"VPI & State Univ., Blacksburg, VA"
1277741,81100145174,"TNO, The Netherlands"
1277741,81309492041,"CWI, The Netherlands"
1390749,81100191345,"Lehigh University"
1390749,81418592570,"IBM India Research Lab"
1390749,81452611651,"University of Munich"
1390749,81100473494,"India Research Lab"
2348283,81100618955,"Oregon Health & Science University, USA"
1008992,81100454785,"University of Sheffield (UK)"
2009916,81350592994,"Microsoft Research Asia, China"
2009916,81100564379,"University of Montreal, Canada"
1835449,81100211564,"University of Lugano, CH"
1835449,81100217277,"University of Geneva, CH"
1148170,81100273027,"University of Washington"
1076034,81100336335,"University of Chile, Chile"
1076034,81409594876,"Federal University of Minas Gerais, Brazil"
2766462,81100336335,"Yahoo Labs, USA"
860435,81100390699,"University of Waterloo, Canada"
860435,81100408923,"University of Waterloo, Canada"
1390334,81548005176,"National University of Singapore"
1390334,81100240591,"National Library Board, Singapore"
2600428,81329488866,"Queensland University of Technology"
2600428,81100269573,"University of Dunedin"
383952,81100154599,"Louisiana State Univ."
383952,81100652508,"University of Massachusetts, (For the Americas)"
383952,81100139304,"The Robert Gordon University, (For Europe and Africa)"
383952,81100029320,"RMIT University, (For Asia and Australasia)"
290941,81100652508,"Univ. of Massachusetts"
290941,81100200925,"Univ. of Melbourne, Victoria, Australia"
290941,81100165517,"Univ. of Glasgow, Scotland, UK"
290941,81100304210,"RMIT Univ., Australia and CSIRO"
290941,81100029320,"RMIT Univ., Australia"
564376,81100546351,"University of Tampere, Finland"
1571941,81342487699,"University of Massachusetts Amherst, USA"
1571941,81100398599,"Northeastern University, USA"
243199,81100597796,"Ubilab, Union Bank, Switzerland"
243199,81406592091,-
243199,81100061950,-
243199,81100304210,-
312624,81452616437,"Univ. of California"
312624,81100612246,"Univ. of California, Berkeley"
312624,81546159656,"Tarragon Consulting Corp."
253495,81100420918,"Univ. of Western Ontario, London, Ont., Canada"
2633211,81100125683,"Yahoo! Lab"
2633211,81549141256,"Microsoft Research"
2633211,81548005694,Google
2633211,81421596886,"Microsoft Research"
2633211,81451595141,"Microsoft Research"
511793,81100092419,"National Science Foundation, Washington, D.C."
800096,81339506697,-
800096,81100093161,-
800096,81100078648,-
253168,81321489654,"CNR, Italy"
511754,81100007239,"The University of Alabama"
511754,81100286292,"University of California at Berkeley"
511706,81100104348,"Southern Methodist University"
511285,81100284549,"Computer Science Center, University of Maryland"
2464464,81361595837,"University of Southampton"
2464464,81100211949,"World Wide Web Consortium"
2464464,82158623957,-
2615569,81100513282,"Indiana University, USA"
2615569,87858672457,"Rensselaer Polytechnic Institute, USA"
2615569,81100427232,"University of Oxford, UK"
2380718,81421593530,-
2380718,81100101728,-
2124295,81100589033,"University of Michigan, USA"
2124295,81100167805,"Microsoft Research, USA"
2556195,81100270582,"University of Delaware, USA"
2556195,81100278520,"Microsoft Research, USA"
2684822,99658674583,"ICT, Chinese Academy of Sciences, China"
2684822,81553921356,"Huawei Technologies, China"
1718487,81100056175,"Lehigh University, USA"
1718487,81100583468,"Polytechnic Institute of NYU, USA"
1341531,81100303448,"Microsoft, USA"
1935826,81100193887,"CUHK, Hong Kong"
2433396,81330494272,"Sapienza University of Rome, Italy"
2433396,81100071705,"Sapienza University of Rome, Italy"
