conf_id,author_id,affiliation
2513166,81100320230,"SAP AG, Canada"
1871929,81451593742,"Hong Kong Baptist University, Hong Kong"
1871929,81100053513,"Renmin University of China, China"
1030397,81100052761,-
2361354,99658657632,"University of California, Berkeley, USA"
1410140,81452610374,"CWI and VU, Netherlands"
1410140,99658658121,"PUC-Rio, Brazil"
2034691,81100157184,"University of Waterloo, Canada"
2494266,81320492504,"Monash University, Australia"
585058,81100039520,"Texas A&M; University, USA"
585058,81100554597,"Kent State University, USA"
2682571,81331492783,"CNRS, France"
1860559,81100176682,"Ricoh Innovations, Inc., USA"
1860559,81100613313,"University of Fribourg, Switzerland"
1096601,81310494007,"University of Manitoba, Canada"
1166160,81100060080,"University of Nottingham, UK"
958220,81100362298,"Swiss Federal Institute of Technology, Lausanne, Switzerland"
1284420,81100374933,"Hewlett-Packard, USA"
2644866,81372591678,"Zalando AG, Berlin, Germany"
1600193,81100193709,"Xerox Research Centre Europe, France"
2631775,81452605435,"Federal University of Minas Gerais, Brazil"
2631775,81100336533,"L3S Research Center, Germany"
1557914,81100513282,"Indiana University, USA"
1012807,81100497770,"University of Southampton"
900051,81100072950,"University of Southampton, UK"
900051,81100650427,"CWI & Technical University of Eindhoven, The Netherlands"
2309996,81548005686,"Graz University of Technology, Austria"
1810617,81100332151,"Dalhousie University"
1286240,81100486617,"The University of South Australia, Australia"
1286240,81100134465,"Eastgate Systems, USA"
1286240,81100237446,"The University of Warwick, UK"
1286240,81100601284,"University of Southampton, UK"
1286240,81100551753,"Eindhoven University of Technology, The Netherlands"
1286240,81100646151,"IBM T.J. Watson Research Center, USA"
1286240,81100644397,"University of Southampton, UK"
504216,81100601284,"Univ. of Southampton, UK"
504216,81351598467,"Univ. of Florida"
2700171,81100481327,"University of Pittsburgh, USA"
2700171,81336489844,"Delft University of Technology, The Netherlands"
1149941,81100239947,"Aalborg University Esbjerg, Denmark"
1149941,81100402067,"Sagem Orga, Germany"
1379092,81361595837,"University of Southampton, UK"
1083356,81100493036,"Computer Technology Institute, Greece"
2481492,81100539734,"University of Würzburg, Germany"
2310057,81314487668,"University of Kassel, Germany"
2310057,81100338950,"Graz University of Technology, Austria"
1995966,81100095276,"Aarhus University, Denmark"
513338,81100101324,"University of Colorado"
513338,81100250672,"University of Baltimore"
2467696,81100003333,"University of Illinois at Urbana-Champaign, USA"
2467696,81100454587,"Los Alamos National Laboratory, USA"
2467696,81361591237,"Texas A&M University, USA"
544220,81100052406,"University of North Carolina at Chapel Hill"
1255175,81100470724,"University of California, Berkeley"
1255175,81100332151,"Dalhousie University, Canada"
1255175,81332530404,"University of Tsukuba, Japan"
1141753,81336491952,"Old Dominion University"
